previous utterance by the teller	drawer's utterance	next utterance by the teller	is CR?	impossible to know?
large apple tree against my right side with a tiny bit off screen . med green snake under it to my left a bit	the large tree takes up the whole scene space is that ok ?	make it one size smaller , there is a bit of space between trunk and bottom of screen . top touches top of screen	1	
there is a medium sandbox in the bottom right corner and has a football in the corner	is the football on the left or right	medium pine tree on left side . medium grill near the tree and large jenny sitting in front of the tree holding a hot dog	1	
medium snake under girls feet and head is facing right and is just to the right of the girls foot	ok got the snake	i will check and send corrections , okay ?	0	
yes , boy has a christmas cap on his head	what 's christmas cap ? what color ?	red and grey , and to the right of the boy a girl is sitting she is facing left side with a surprise face	1	
one inch from left side no teeth but he is smiling	his left hand or the hand on the left ?	girl facing boy smiling no teeth one hand in air one hand down smile at horizon about one and a half inches from boy	1	
it 's to the right	i have the right tip of the trunk against the edge of the scene . is this correct ?	yes . great job	1	
i can check when ready	go ahead please	flip the two trees , cloud is one size bigger . and cat goes near other arm	0	
i 2 inch right of boy is girl in same pose and expression	facing each other , i presume .	both face right . on right edge is medium dog faces left tail at horizon and right edge . almost touching his pail	1	
happy boy in pirate hat to the right of the girl hands outstretched , facing girl . ski hat is on girls head	i have two happy kicking girls , one has smile almost as wide as her eyes , the other smile is much wider . does boy have one hand on hip ?	there 's only 1 happy girl and one boy actually not happy , has a surprised look on his face , arms outstretched	1	
and that 's all that is in the picture .	take a look and let me know any changes	the girl needs to be moved a little more to the right and the cup needs to be moved closer to her hand .	0	
---	alright . done .	---	0	
he is standing	hands out or just one hand up ?	heads toward fire both out	1	
the kite is small . the white handle at bottom where you hold the kite is where it is overlapping owl med	you said cat lol thats what confused me ok hold on . what size owl ?	owl is medium . the cat is covering it . so it 's hiding . to left of cat is mad girl kicking facing left	1	
turn owl the other way . move glove to her other hand and flip . move boy and bat a bit closer to owl . then done .	okay , it 's fixed	great . thanks	0	
a small girl , in front , angry , jumping pose wearing a king hat	what is the color of hat ?	yellow	1	
to the right of boy medium soccer ball boy facing right	is he on the left or right of the scene ?	boy is left of tree left hand side of scene	1	
	have you done this hit before ?	a medium pine on right side , left and top is cut off .	0	
cloud on right	i have a blue sky and green ground rn	bear on left facing right arms in air	0	
mike is on the right facing left , the ball is in front of her right foot , the pizza is on the left and the dog is close to pie	so switch places mike and jenny ?	no , her right hand can touch his back	1	
sorry , the right cloud is a rainy cloud . a swing below rainy cloud , almost touching the drops .	what size swing set	on left corner is hidden a big table , only 1 4 is hidden . legs touches bottom border .	1	
eyes at skyline plane furthest right meaning , cloud then plane small , cockpit out of image	is the cloud covering the plane ?	no but the plane is in a small space between cloud and far right edge , can i check	1	
---	ok got it fixed , submitting	---	0	
---	is the boy standing	---	1	
blue star hat on boy and we done . good work	hat on boy		1	
yes only about two thirds of it is shown	cool , what else ?	there is a cloud in the top center and it is small	0	
yes , he is on the right . just the top of his hair is over the grass line . move the ball a little left and up .	ok so does he cover some of the raindrops then and how much of the girl is above grassline ?	he is below the raindrops . not much of his hair is over the grassline . just the top .	1	
from left to right . boy , followed by girl then bear the dog and tree	what are the expression of boy and girl ? and size too ?	in the sky top left is a sun six rays seen . the boy is facing left , teeth showing running posture .	1	
---	got it anything else	---	0	
from the lightning cloud . last is the reg . cloud on the right of rain cloud . the left is in front of the rain cloud	okay ! got that too	so bolt rain reg . the rain has the left and right sides being the other clouds .	0	
tree right in middle of screen with top of tree off the screen	round tree or pine tree ?	sorry round tree with red . bear on left facing right bear 's left hand is in front of part of tree	1	
---	ok is that all ?	---	0	
there is a sun in the top right with about half of it cut off	half cut horizontal line or vertical ?	both	1	
lump of sand is on left side . sandbox is large . on left side , large girl sitting in it , facing right , legs out , angry face	girl sitting on the sand basket ?	to the left of her , boy , large , facing left , smile , no teeth , legs out . his feet almost touching hers . yes , both kids in sandbox	1	
there is a girl with yellow hair wearing a pink dress with black shoes sitting at the left side of the table	do n't have to tell the hair or pink shirt . they are all the same . is she facing left or right ?	she 's facing to the right	1	
basketball is on his left hip	how much of tent is cut off ?	move swing set over to the right a little . both kids should be med size i guess . none of tent cut off it is small	1	
large girl to the right of boy in the box one arm up	what kind of face does she have	her mouth open scared face	1	
nope	can you peek ?	i will .	0	
i said only half of table is showing , so hide half on the left side edge , cat higher , girl left a little	okay . sorry i thought you meant half sized table	move food all right on the table , sorry and bigger table	0	
there is a green snake on the grass with his back end covering a bit of the sand the hump in the middle is superimposed over the edge .	which side of the sandbox is he on ? is he small , medium , or large ?	the snake is on the far right centered and facing right . the head covers the top right corner of box i 'd guess he is small .	1	
---	where on the grass is the tree ?	---	1	
it might be medium size , but not as close to the girl 's hand .	ok , i moved the dog to the right	ok , should be good to go !	0	
it 's perfect , the dog just needs sunglasses on ! ! ! he 's a hot dog	hahaha ok		0	
hello so to establish this when i say left i mean the side of your computer that has the key pad	yes , and please hurry timer says 9 min	look i started and you have been non responsive . please place the tree	0	
he has his arm out and is facing left	is half of his head over the green line ?	yes the green line is at his mouth	1	
okay , no apple tree is bigger . and plane moves down . only it 's top wing is in blue , rest is in green	the plane is in the gras ?	yeah , i know	1	
right side sad girl crying facing left she is a finger away from the table	any part of her level with horizon line ?	behind her left foot is a snake medium sized very near it . her eyes level with horizon	1	
not bad , move sun back a little more , move plane down a bit and good	sorry i forget you ca n't answer until i do . thanks . night !	no worries , good night	0	
there is a sad boy on the left . his shoulders are above the horizon . a surprised girl is in front of him .	are they the same size ?	yes , both are large . the girl has her hands up and they are both looking to the right .	1	
three towards the left and three towards the right	can you see the top of the tree	no . the girl is holding balloons in her right hand and is wearing a crown .	1	
there is a cloud on the right side of the sky , 1 inch above the horizon . there is a jet on the left side of the sky .	what way is the jet facing and what size are the jet and the balloon	the jet is large and facing right , the balloons small . there is a girl facing right and kicking beneath the jet .	1	
boy on left facing the right	expression	good smiling	1	
---	next please .	---	0	
yeah make the swing bigger . the girl should be sitting in the left swing . the boy is holding the hamburger	okay everything is the right size now .	and the dog should be on the right side of the boy . everything else should be good	0	
---	what 's in the scene ?	---	0	
basketball is right of his right hand . his feet are close to the edge of the grass .	his hands ? ? ? ? ?	nothing in his hands .	1	
the girl 's right thumb is just above the horizon and her index finger on the other hand is also barely over it .	where is ball above or below horizon , and closer to which ?	the ball is a little to the right of the center , a little bit under the horizon . the boy and girl are medium size .	1	
movie bear , jenny , and cloud to the left . have jenny facing mike . other than that it 's perfect ! thank you .	thans		0	
a ball overlap the right side corner of tree , about 3 4 . on right a normal cloud , a little cut off right side .	color of the ball	soccer ball . under cloud a boy is surprised , face left with leg up .	1	
yes , like the boy 's arms	ok thanks so much , you did a great job explaining everything !	thank 's , great job !	0	
med picnic table below plane , 1 3 inch down from horizon , bottom of right leg off screen	got the table	angry girl , sitting , legs out , under table , head about 1 4 inch below table top	0	
under the rain cloud is a swing set and under that is a green snake . that is all .	if there are no more objects please tell me about the sizes	sizes are right . the lightning cloud in on the wrong side . lightning left rain right . the swing set is under the rain on the right .	0	
that 's about it	guess we 're done then	thanks !	0	
there is a cloud to the left and a bear in the middle	size of bear ?	there also is a boy on the left , facing right with glasses on , looking sad	1	
girl is happy , looking at boy with black sunglasses on , cloud in top right corner , top and right are missing	where is this girl ? on the left or right side ?	middle , right of the boy	1	
not when i peeked	ok . i 'm going to submit if you 're satisfied .	sure am	0	
everything looks good . make the girl and boy bigger , tent bigger and bear smaller	everything else good ?	everything else is good	0	
smiling boy facing the girl is on the right side all of his body is in the green & a bit of his left foot is in the white part of screen	is he kicking or just standing ?	just standing maybe looks like he could be about to run or is walking ;	1	
dog tail touches apple tree ,	i thought apple tree was on the left and dog on the right	can i check	0	
girl is jumping in air with both arms up left hand side waist at horizon	near cloud or where	she 's about inch from left . both kids are small . she 's looking right . boy seated angry looking left	1	
yes , facing to the right .	ok check and come back	okay . the plain cloud is on the ground behind the swing set , which needs to be smaller . kids are in the sky , just above lowest raindrops .	0	
left side corner middle of the grass small apple tree left part half cut and half trunk cut and half of the tree above horizon line	alright done what 's next ?	from the tree one girl kicking facing right side wearing black glass her hairs above horizon line	0	
great that 's it thanks !	the trees are equal		0	
dude had blue hat , can i check	what is he doing ? standing , sitting ?	kicking the ball	1	
---	what next ?	---	0	
top of slide is a bird , looks like it 's wearing a crown or something , bird is facing right	what is the color of bird	it 's grey with a light blue wing	1	
yes and his beak lines up with boys shorts	that 's what i have	okay i am checking it now	0	
the tree is a lot smaller . i guess i misspoke about the size .	that 's okay , the trees get huge . the largest one takes up about half the picture . i shrunk it .	the boy and fire are only a little above the bottom of the picture . the boy 's head is underneath the right side of the tree .	0	
facing my right . tent facing my left	got it . leave a note in the comments to explain the extra in the conversation so our hit is n't rejected . thanks .	boy facing straight	0	
---	no wait	---	0	
---	okay , now what	---	0	
under right side of apple tree is dog , nose by the trunk , facing left .	is dog big ?	dog is big . at bottom right corner , is girl sitting legs out , sad facing left . left corner is boy sad running right	1	
---	fixed it . thanks !	---	0	
	hello can you describe the scene for me	right side swing facing left	0	
put tree way down , make kids small size . cat big size closer to the kids and move them down , thank you	are the kids wearing anything ?		1	
make the table one size bigger and move food to right side of table and it is perfect	so it 's not medium	no sorry , i guess i was wrong on the size	1	
i peeked at your canvas . girl and boy need to be on opposite sides . sun is larger and up in corner .	ok i flipped boy and girl , and moved the sun up higher so most of the rays were our of picture on top part		0	
big cloud on the side of sun girl reaching to left shocked 1 in from bottom right 2 inches from right	please explain . i have the sun and cloud . i do n't understand what you are saying	slide on left 1 inch from bottom slide touching left border boy at bottom of slide facing right duck on the center grass facing right done	0	
under tree is a girl , sat with legs stretched angry face	is the tree right or left side ?	left	1	
med slide on left facing right , handles and first step above horizon . tell me when i can check ,	lots of stuff on the right side . yes please ready .	flip table , and ball . awesome job	0	
reverse boy and submission , girl , cat boy basketball sun	make girl cat boy basketball sun smaller ?	no just make boy face girl . the rest was typo , sorry	1	
he is holding an orange cat . they are medium . he is wearing blue hat with star .	what size cat ?	also medium girl on the right side of the cat , standing , arms out , surprised . cat is medium .	1	
lg tree slight left of middle of frame	is it cut	no all in frame , half tree below horizon line	0	
your image is close so we are good	is the bottom leg of the table level with the girl 's ankles ?		1	
her hand touches the pink side of the swing , she faces right	there is no swing	p , smaller dog	0	
move trees up 1 inch put bat in other hand bottom of bat in hand and move ball left over her head	do you see sky under the tree leaves ?	yes a little	1	
	everything is per instructions and i 'm out of time . if i get rejected i 'm gon na scream !		0	
---	gotcha .	---	0	
left side	ok , please check and we can make corrections .	owl is missing on the right side of tree and sand basket is smaller and behind the tree rest is all okay	0	
her other hand up she turn right ball on the other side	otherside of what his foot or the picture		0	
2 kids outdoors	is the boy sitting or standing ? smiling or frowning ? hands out ? what about the girl ?	on right , boy standing with one hand out . angry girl sitting on ground to your left	1	
they are both facing right , goes boy girl swing , behind swing tree in front bee	are his eyes level with the horizon ?	no , only the girls are , i said the boy is a bit far	1	
you forgot the duck but otherwise you 're spot on	i ca n't get the duck to be in the sandbox for some reason	i would put it as close to being on top of the center of the sandbox then	0	
	okay if we are done		0	
the boy is wearing a chef 's hat and he is on the left side of the photo , he is smiling , and his hands are held out to the right	about how far from the left side of the screen is he ?	he 's pretty much as far to the left as you can get .	1	
below it boy medium sized scared and standing mouth open facing right	perfect , is his head on the grass ?	yes fully on grass	1	
a small dog stands on front the girl , the dog face right and front feet is just next to right shoe .	what size girl and dog ?	dos is small , girl medium . a surprised boy stand on right of the tree . he face left and wears blue cup .	1	
girl on knees large frowning facing the right holding baseball in right hand wearing colorful hat	where is she located ?	small cloud over apple tree done	1	
the are about the same size , both about the same size of the grass .	the kids are always the same clothes and hair , you just need to worry about posture and facial expression .	the boy has a worried look on his face , both hand are outreached to a pie that is in the grass between them .	0	
---	facial expressions ?	---	1	
need to add the bucket	did so it s behind the dude ?	no , it 's to the left of him , they do not intersect	1	
tennis racket raised hand of boy , 1 4 inch right of boy is large sandbox it touches right corner and is off screen on bottom	is the boy smiling or frowning ? ?	in box is smiling girl one hand up one down , she is facing left and hold shovel in top hand pain in lower	1	
---	are there any trees	---	0	
very center of the picture , it appears he is running	with or without smile ?	smiling	1	
---	ready when you are describe away	---	0	
small pine tree on right the trunk touches the edge it 's 1 inch down from horizon small owl at top , at left edge small tent half off edge	where is tent to horizon	tip above . at bottom middle large sandbox boy with hands out facing left is in box on right on left sitting girl hand behind her face right	1	
airplane gray with blue windows and a red nose and tail , dark gray wings	there is only one plane so i just need to know size , direction , and location .	facing to the right , in the upper left hand corner a bit from the edge .	1	
i do n't think you know left from right	left of picture .	put things on correct sides and sizes , make kids smaller , my bad	0	
to right of her is boy shocked face , 5 inches behind girl is large snake faced right	if jenny is on the right , then where is mike	above snake 2 inches is large bee toy faced right wearing dark shades	1	
from the left edge about 2 inches there is a boy standing with o mouth wearing purple glasses	got it . almost 4 minutes in and we have 2 things on screen faster	his hair is on the horizon and from the right edge there is a tree top is cut off	0	
done	click the green button and tell me if it`s good . you can only click one time . then we can submit	exactly looks like with the picture i have here . this is great . thanks .	0	
the boy is standing to the far left with his hands over his head . his feet are about midpoint in the grass .	does he have a happy or surprised face ?	happy face , he is medium sized and he is facing to the right . let me know when that is done and i will give more directions	1	
	hi , where is the first object ?	a big hot balloon is on the left , full visible . the basket is a little over grass . on center a big sun , almost touching the grass .	0	
	which tree is it , apple , pine , or other ?		1	
large cat sitting to her right near foot . hat points right	is she looking right ?	angry boy running holding a tennis racket in left hand facing right to the left of girl . neck at horizon	1	
ok just make girl and boy smaller . move cat a little bit more to right then submit	beach ball is huge ? make that smaller ?	yes make smaller to equal to their size	1	
there is a medium apple tree on the right hand side . the top and part of the right side is cut off	how many apple showing ?	three full apples , a small slice of two others	1	
on the left , in the middle of the sky is a table	middle of the sky ? notgrass ?	a sad boy , hands on the air stands in the in front of the table . sorry , in the middle of grass	1	
on right , big apple tree , midway grass , crop top and side .	you just said apple tree on left now you 're saying right ?	sorry , on right oak tree . small helicopter on left oak tree , tail hidden .	1	
the ball is a little to the right of the center , a little bit under the horizon . the boy and girl are medium size .	the boy has his feet on the same level ?	slightly above the line where her toes point out . there is a medium sun behind a cloud on the right .	1	
at the door a snake facing left can i check ?	check size , you did not said anything about size	perfect make snake smaller .	0	
i 'm sorry his eyebrows are on horizon line . his hand is almost touching the edge , yes .	are you sure the sandbox and boy are n't medium	the sandbox and the boy are large . you can try a medium sandbox , but i 'm certain the boy is large .	1	
campfire is more to the center . center right the last thing in the picture is a duck standing just barely beneath the girl .	does he face the left ?	yes .	1	
---	hey	---	0	
yes , other on right . sun in sky between partly covered by trees . medium cat on left of apple tree trunk faces right	ok . anything else	1 2 inch right of apple tree trunk is boy hand on hip sad face holding shovel in raised hand faces right .	0	
to the right , with him smiling with tongue hanging out .	is the girl there ? what is she doing ?	the girl is on the far right with her arm extended up with a baseball in her left hand and she has her mouth in circle	1	
in the middle of screen , there are rain and lightning clouds overlapping , medium , lightning in middle of rain	is cloud cut off at top ?	yes , sorry . the top of the clouds are cut off .	1	
large girl to the right of the duck running behind the girl is a large boy running	what are their expressions ?	boy and girl looking right girl surprised look boy happy face	1	
large boy between the table and the bbq grill , standing , smiling with arms horizontal to the left .	large boy with medium and small girl ; looks like he wants to eat everybody . but got it !	girl is medium , not small . move the girl above by 2 cm . move the boy all the way down to the bottom .	0	
tree trunk does	is the ball on the right or left side ?	sorry . tree is just left of ball	1	
one medium size girl in front of tree , she is raising her right leg with angry face	more ?	a fire in front of girl that is just two inches to her right leg	0	
fluffy tree . the other boy is dark skinned with dark hair . he is standing with both arms up and is wearing a blue shirt and blue shorts .	is his face smiling or mouth closed ?	frowning , slightly open	1	
it is an inch from the left side , so sorry .	no problem , we 've all done that	in the lower left corner , cross legged , sitting close to bottom of pic , boy , smiling , facing right , his hand is cut off on left side	0	
dog is half inch maybe the red part of the swing set is above the horizon medium	are both swings visible in the picture ? does the girl 's head cover one of the swing seats ?	if you type ok i can type more an answer your questions medium running boy under swing set running , happy	1	
i am seeing a storm cloud almost directly above the girl towards the center a bit .	ok which girl ?	she is frowning holding up her right arm closer to the left side of the picture .	1	
a smiling waving boy is standing on the right with one hand on his hip . he waves to the girl and wears a helicopter hat .	k let me know if i need to change anything around	a medium slide is behind the boy facing the girl . one ladder ring above the horizon , the right of the ladder is cut off on the right .	0	
top of girl 's head is touching lower left leaves of tree , and that 's it !	done thanks so much	thanks so much , too !	0	
---	small or medium ?	---	1	
happy girl legs out sitting legs touching dog facing left happy	are they by the tree or bottom left corner ?	behind girl a little to right but she 's covering part of him large arms up boy shocked face	1	
boys comes down some , hand almost touching the cat paw	ok fixed that also	and the corner of tree is touching point of bee which needs to be lowered slightly	0	
move tree all the way right trunk is just off right edge dog in front of it tail just below hole . have more	okay , sun is to left of tree ?	yes and cloud too tree is covering them cloud is also coving sun except top edge	1	
---	is it large ?	---	1	
ok i think we are good to go	great , bye		0	
this is all	cheek painting and let me know if anything needs to be changed .	the cloud is on the left .	0	
a girl is sitting on the bottom right facing left with balloons in her hand	and which way does it face ?	medium sized helicopter and the girl is facing left the balloons in her right hand . there is also a boy kicking a soccer ball	1	
boy with hands in front by the left facing right	happy , sad , ? what level	sad	1	
med bushy tree pine tree on left down front small	ok what else are either cut off or can you see the whole thing	midway boy on right side of pine tree sad left hand up facing right cat on the side watching him	1	
a small leafy tree is behind the girl .	hole on the right or left ?	the girl is on the right .	1	
pretty good but boy needs to be farther to the right	is he facing to the right ?	yes , and does he have a pirate hat on ?	1	
tree needs slightly moved back to the right . right bottom side of tree needs out of the picture .	yup . the right side is out of picture !	ok and move the cloud down just a little . what is bigger , covers most of boys head .	0	
she 's holding a hot dog in her right hand . ready for me to check ?	yes , looks weird . maybe i did a mistake , check	flip mike and adjust jenny accordingly . then put the mitt under the hand that is behind him .	0	
would you like me to peek for accuracy .	thank u , yes	make dog and grill smaller . please line line everything up	0	
large boy hands up . frown . his right hand just comes to the left of the farthest lowest rain drop	is the boy 's nose about on the horizon line ?	almost touching it . med swing set . left side . right up . the left side bottom is just cut off	1	
small sun on right 1 2 from right , 1 4 from top	how small ?	small snake on right , 1 in from bottom 1 4 from right , snake facing left	1	
in front of that there 's a bear only slightly smaller than the tree with its arms up and mouth open	yes there is only one bear to choose from is he facing left ? is he to the right of the tree ?	yes	1	
starting from right to left a boy that is smiling with arms in the front of him facing left . put a ball in his top hand a a hat on his head	what kind of ball ? is boy os right picture ?	it 's a soccer ball	1	
	first object ?	a tree	0	
---	where do we start ?	---	0	
boy behind one girl standing one hand up , up hand bring drink glass	is she happy or sad ?	not sad but not open her mouth	1	
there 's a bushy tree with a hole in its trunk about halfway up the canvas on the far right , underneath the sun , check ?	done , check size please , tell me what to make bigger or smaller .	bring the tree down about an inch , and the sun up about half an inch , and the cloud up and over about half an inch , than perfect	0	
hole faces left . right side has large apple tree , trunk in the green the rest in the blue . it is cut off on side and top	medium or large tree ?	large tree . an airplane is in the blue , the tail of it is cut off by the tree on the left , it is large	1	
boy far left hiding left of tree , then dog far right facing left , tennis ball in front of dog	boy stand , happy ?	boy hands to the right , happy	1	
so ^ ^ slide boy in front arms up	i do n't understand those instructions	ok . the swing set is on the left the slide is on the right .	0	
left sorry . mad boy . large arms out . eyes at horizon . left of the girl . star hat on . he is 1 2 inch from the left	which way boy looking which side of hat is star on	looking left hat same way	1	
the boy holds the ball on right hand , dog is 1 4 from boy .	so dog is center	dog is center left	1	
then move jenny to the left and make her mouth surprised . the rest looks perfect .	awesome ! thanks so much you are a fabulous worker !	you too , thanks !	0	
there is a boy surprised covering part of the picnic table on the left side facing right	how big and covering what part of the picnic table ?	same size as girl and leg is covering part of the two left legs	1	
increase the size of the boy and girl .	and we 're good ?	yes	0	
sizes are right . the lightning cloud in on the wrong side . lightning left rain right . the swing set is under the rain on the right .	i made those changes . do you know this by using the chance button ?	yes , i did use chance . the swing set only touches the raindrops . snake is below it . all set ?	0	
medium kids are being chased by bear , all are headed right . running surprised girl is most right .	ok got them , is bear medium too ?	her nose is at horizon , she is running , and there is room for one kid between her and right side . winter hat .	1	
finito	thanks for the help .		0	
---	hi !	---	0	
tree is small . to the left of the tree , a large mike sits cross legged facing left . his legs line up with jenny 's feet .	does his head lay against the tree ?	his head is half a finger width away from the tree . he is wearing a viking helmet .	1	
there is a snake below that tree facing right . there is a rounded tree to the right of that tree . it is covered about halfway by the tree	ok so rounded tree is behind large pine tree ?	yes	1	
in front of the opening	is she blocking the opening ?	yes	1	
	alright tell me what to draw	right side small bubble tree right side cut off top visible and hole facing right , all of bottom dark green is under horizon	0	
medium boy 1 2 inch from right eyes at horizon sitting hand out behind him facing left sad in cap small	what is color of cap ?	blue . small rocket right above boys right foot and medium bolt cloud 1 4 inch above rocket	1	
so i hit chance and it shows me what you 've done ? if that 's true it looked exact , good job ?	well yes , click use chance and check my image . if it`s the same we can submit .	good stuff submit !	0	
ok well , thanks for trying , i 'm sure you have it	i think i do , just wanted to make sure . thanks so much	no it 's not covering but close as possible	0	
can i check ?	yes , check size please	everything looks good , just move the boy & girl up a little bit so that their waists are on the horizon . sizes are all good	0	
---	hi , what do you see ?	---	0	
small plane in upper left flying left . standing hand on hip	where is happy boy standing ?	tip of plane wing not seen . big boy ears level with horizon	1	
just a few , plane faces left . move cloud to front of wing after switch	alright , done	make boy cat girl and toy smaller . move cat to right of girl and face left	0	
under the sun there is a girl running in the grass and facing towards the right	girl smiling or sad face	smiling	1	
top bar of swing just above sixth spike of tree . lowest spike half cm above right swing seat	ok , how close is the girl to the right side ?	her hand is 1 2 cm from edge	1	
---	sizes ?	---	1	
to right size just wrong place	i put the drink below the grill 's right leg . the burger is 1 8 to its right .	perfect . thanks	0	
a boy and girl on the grass throwing a ball	who is on left	background is blue sky	1	
yes	i have the girl 's toes in line with the tip of a log . '	yes that is it	0	
	teller quit !		0	
	hello , i 'm ready when you are	a table in the middle	0	
---	pine ?	---	1	
swing set , and girl are small , there is a baseball , 1 2 '' from green in the blue , about 2 '' in front of boy , small also	baseball is also small ?	move baseball a inch toward left , make boy bigger , add duck on right corner of swing set	1	
---	describe it	---	0	
there is a girl sitting on the ground smiling without apples	is the girl facing the tree ?	she is in front of the tree a cat between her legs	1	
just checked , you did an amazing job . it 's spot on , perfect . do n't change a thing .	thank you for fabulous instructions !	thank you for the great work !	0	
with horns . im done ill check	ok , go ahead let me know what to change	move girl and ball up and left a tad and we are good	0	
he is standing with one arm on his side and facing left with arm in the air . jenny is on the left .	ok i got her	are you ready for me to check . she is on the left side , facing right knees lined up with the horizon , an inch from the left edge .	0	
on the right side there 's a smiling boy w teeth he 's standing and holding a pizza	facing which way ? comparison to horizon ? right edge ?	his eyes are just above the horizon , he 's facing left towards the girl	1	
the boy is about 3 feet away from the girl	is he happy or sad ? sitting or standing ?	the boy has a glove in his left hand .	1	
left side , big size boy , facing right . arms up , angry face , blue hat star on , bat in right hand	head at horizon or what	hat above horizon	0	
ok it 's a boy on the left with a disc on the left of him he is sitting to the right	ok is the disc by him	yes in his hand left	1	
yes	ok got it thanks !	good job !	0	
the boy and girl are facing right , running , both happy . the girl is little higher up and further than the boy	is the boy on the right side ? and girl middle of scene ?	you can see most of the round tree on the left , a very small amount is cut off	1	
one finger width to the right of mike , large , surprised jenny faces right . she is running . her teeth are at the horizon .	so more of jenny is out of the picture than in ?	no , she 's all in . she 's close to mike , just right of the center line .	1	
cloud is probably large , idk what size the rocket is because i 've never used it	i 'll adjust if i need to after you check it . what else is there ?	girl wearing beanie with twirly bird on top	0	
	what have we got ?	left side small bush tree hole facing right side cut off rest all visible right side big thundercloud bolt facing right	0	
sorry facing right , the kidsa re looking at each other , she is sad	okay hands in air ?	no , she is kicking arms are at sides	1	
there is no dog , there is a cat about to eat a hot dog , everything else is good . thanks	small cat ?	large	1	
boy is on right , sad , kicking soccer ball toward girl , who is left of center with her right hand raised .	ok , are they all 3 in the middle of the skyline ?	they are toward the center . girls eyes are just below grass line and boys eyes just above . there is a tree cloud and plane	1	
---	ok submit	---	0	
medium boy , like running and faces right .	what kind of face , and where ?	a surprised girl is on center left . she has a hand up and faces left . a medium thunder cloud on right corner , top is cut off .	1	
from left , medium everything , dude kicks then table center with pizza , , then girl hands up facing left , under her a cat	ok check and see	soccer mid skies , sun upper right , , do n't leave until i check	0	
oh	that confused me at first too . what else is there ?	a boy is to her right holding a drink with a straw	0	
hi okay we have rain cloud big size left top and below it big snake on the grass center of the grass	clouds all showing and snake left middle directly under cloud ?	three fingers away from snake scared boy wearing pirate cap with left leg kicking out and facing right . yes exactly	1	
medium apple on the right .	how many visible apples	large boy on the 7 o'clock of the tree , wearing rainbow hat . 9 apples visible .	1	
---	that it	---	0	
yes	i got it ! thank you		0	
check ?	ok now , check	down the bee , place the ow on bee 's head , move the snake down and little left , that 's it	0	
his knees are level with her feet . his right or left wrist is just touching the corner of the lower left part of trunk , like poking him	okay wow and what else	i will check the chance and let you know if anything needs to be fixed .	0	
surprised boy looks on from the left	the boy is standing with slightly bent knees ?	yes	1	
move the slide to the right more	how much of it is cut off	almost all of the first rung is cut off	1	
	thanks . if this is wrong this is your fault .		0	
	what 's in sky on the left side ?	a small sun left , small plane noise pointing right in the middle of sky	0	
a sad girl on the left is reaching for an owl that sits on a sandbox in the middle	girl standing or sitting ?	the girl is standing and is wearing a crown . a boy sits cross legged in the sandbox with a shovel in his hand .	1	
---	yes , please !	---	0	
it 's a cloud in sky not sun , girl faces left	okay switched them	flip and make slide smaller	0	
small balloons in sky midway on right	how much of the plain cloud is hidden , is lightning pointing right and touching ground ?	small boy on left arm raised sad facing his left	1	
anything else	u can check now	move the girl to bottom corner . move boy to above her , but left of campfire . boy needs scared face . move cloud a tad right .	0	
he 's smaller 6 of him would fit vertically . he 's sitting with legs out	where are they left to right , and if they cross the horizon what part of them does .	girl 's left arm is at right edge of frame . there 's space for another of her below her . the boy is on a swing set on the left side	1	
	pi or balloons		1	1
ok . so girl is on the right side of the screen . the boys hat is the wizard hat . also move the plain cloud up . it 's just cut off on the top	okay i put the girl on the right and moved the plain cloud up a little bit		0	
lining up with the girls eyes place an owl the a basketball on the left to the girls kicking feet	owl is facing ?	sorry , left	1	
under the sun one medium girl one arm out smiling facing left her head and finger above horizon line	sitting or standing up ?	girl standing , middle of the grass one small frisbee under the frisbee one tennis ball	1	
and right on top of girl 's head sun cut with only 5 of its edges visible	can you see if it 's good	the girl hands are both straight not one in air and boy has his tongue out with purple glasses on him	0	
medium	so smaller ?	medium size	1	
---	you too !	---	0	
yes	where is the owl on the top middle or bottom of the tree	now further to the bottom left side hot air balloon medium only 1 4 in sky rest in ground . top part of tree left side and dog right side	1	
we are done , thanks	super !		0	
a girl in front of the reaching smiling holding burger in right hand	is the girl sitting or standing are both hands in same direction	part of it is cut off over half is seen	1	
yes can i check now ?	yep ;	make the sandbox smaller , flip it . place it more toward the left side of the image and put jenny more toward the center .	0	
make grill bigger , move table to left , add soccer ball , dog on other leg and smaller , girl smaller	does the grill touch the horizon ?	no 1 8 down from , make sure you adjust you coke and burger too , boy in right place	1	
---	okay you can check	---	0	
---	okay , done . what else ?	---	0	
---	i 'm ready .	---	0	
boy and girl face left , that 's it , i 'll check	i changed the girl to face left	small helicopter , boy and girl facing left , tree move to left , owl to the right side of tree	0	
girl standing on left smiling facing left wearing pirate hat kicking	you need sizes and what girl is doing , kicking or hands out ?	girl is kicking smiling boy on right kicking shocked facing left horned hat on head	1	
---	what is she doing ?	---	1	
angry kicking girl , faces right , her kicking foot is a sliver away from bottom log of fire . she is at bottom of page , center right .	where is the tree placed left side or right side	tree is left side of scene . making boys head and shoulders above horizon , his head a little on the green of the far right of tree .	1	
it says : drawer did not draw anything	i did . must be a bug , i did everything you said it`s on my left picture		0	
the man is smiling with a viking hat on .	yeah but where are his hands ?	he is reaching his arms to the left to catch a tennis ball . his hands are about waist height .	1	
